id_municipio,id_estacao,estacao,data_fundacao,geolocalizacao,altitude
4116208,A873,MORRETES,2008-03-13,POINT(-25.50888888 -48.80861111),50.31
4219507,A858,XANXERE,2008-03-15,POINT(-26.9386111 -52.39805555),878.74
4203006,A859,CACADOR,2008-03-19,POINT(-26.81916666 -50.98555555),944.26
4215000,A862,RIO NEGRINHO,2008-03-22,POINT(-26.2486111 -49.57416666),856
2926004,A423,REMANSO,2008-03-26,POINT(-9.62555554 -42.07722221),397.4
2930105,A428,SENHOR DO BONFIM,2008-03-27,POINT(-10.44305555 -40.14833333),532.09
5220058,A027,PARAUNA,2008-03-29,POINT(-16.9625 -50.42555554),678.74
2910701,A442,EUCLIDES DA CUNHA,2008-03-31,POINT(-10.53722221 -38.99666666),431.96
2914604,A424,IRECE,2008-03-31,POINT(-11.32888888 -41.86444444),768.42
2805505,A419,POCO VERDE,2008-04-03,POINT(-10.73805555 -38.10833333),367.01
2919306,A425,LENCOIS,2008-04-05,POINT(-12.55777777 -41.38888888),438.09
2908606,A431,CONDE,2008-04-07,POINT(-12.03583333 -37.68388888),31.9
5102793,A926,CARLINDA,2008-04-09,POINT(-9.97055554 -55.82749999),293.71
1301852,A119,MANACAPURU,2008-04-10,POINT(-3.29472221 -60.62833332),36.57
1303403,A123,PARINTINS,2008-04-11,POINT(-2.63916666 -56.75611111),18.72
4216503,A815,SAO JOAQUIM,2008-04-12,POINT(-28.27555554 -49.93472221),1400.06
1301308,A117,COARI,2008-04-12,POINT(-4.09749999 -63.14527777),33.84
